concept_index,concept,target_class_index,target_class,mean_target_dice,mean_target_iou,mean_pred_ratio,best_matched_class,best_matched_dice
0,spleen,0,spleen,0.9215571160547963,0.8568487540702986,0.01344764930147176,spleen,0.9215571160547963
1,splenic parenchyma,0,spleen,0.9247815174036415,0.8624249055084637,0.013545318266545925,spleen,0.9247815174036415
2,homogeneous left upper quadrant solid organ,0,spleen,1.2445411488895073e-12,1.2445411488895073e-12,1.3772852605685984e-07,gallbladder,0.026315789484707575
3,crescentic organ with smooth lateral convexity,0,spleen,1.2445424222509951e-12,1.2445424222509951e-12,0.0,gallbladder,0.026315789484707655
4,left hypochondrial region,0,spleen,1.2444426070481443e-12,1.2444426070481443e-12,1.0028557122036358e-05,gallbladder,0.026315789484553886
5,left subphrenic compartment,0,spleen,1.2445424222509951e-12,1.2445424222509951e-12,0.0,gallbladder,0.026315789484707655
6,posterolateral to the gastric fundus,0,spleen,3.0381754465972206e-05,1.5197782505440382e-05,0.005785908151013623,stomach,0.5604232342142869
7,spleen lies beneath the left hemidiaphragm along the left lateral abdominal wall,0,spleen,0.8852471097665976,0.8023153027342285,0.012238186287348341,spleen,0.8852471097665976
8,right kidney,1,right_kidney,0.9201556682460674,0.872574595674109,0.0074811830988586415,right_kidney,0.9201556682460674
9,right renal parenchyma,1,right_kidney,0.9184823233800001,0.8696370840101653,0.007421610833188658,right_kidney,0.9184823233800001
10,right-sided reniform retroperitoneal organ,1,right_kidney,0.8770392320426937,0.7991734720597797,0.0066551896078343295,right_kidney,0.8770392320426937
11,right renal cortex with central renal sinus,1,right_kidney,0.8472573048248951,0.7400536213399672,0.00610750047238945,right_kidney,0.8472573048248951
12,right renal fossa,1,right_kidney,0.9259692860886164,0.863045021722831,0.0069950517732359045,right_kidney,0.9259692860886164
13,right posterior pararenal region,1,right_kidney,0.0004601191647102364,0.00023051920410813693,2.6484449193166306e-06,gallbladder,0.026315789484648862
14,caudal to the right hepatic lobe,1,right_kidney,2.2755300687113123e-12,2.2755300687113123e-12,0.00011887963964542041,liver,0.003195611850819239
15,right kidney is positioned in the right posterior retroperitoneum adjacent to the psoas muscle,1,right_kidney,0.6390751557851302,0.4849428060177285,0.004483741176718651,right_kidney,0.6390751557851302
16,left kidney,2,left_kidney,0.9121988425291934,0.8591137685504165,0.007713238106480375,left_kidney,0.9121988425291934
17,left renal parenchyma,2,left_kidney,0.9113178548033453,0.8574950920538545,0.007667479931317125,left_kidney,0.9113178548033453
18,left-sided bean-shaped retroperitoneal organ,2,left_kidney,0.8408115589627011,0.7445940978481909,0.0064017643039879545,left_kidney,0.8408115589627011
19,left renal cortex surrounding the collecting sinus,2,left_kidney,0.8389663147541968,0.7402321036920787,0.0064369848025561316,left_kidney,0.8389663147541968
20,left renal fossa,2,left_kidney,0.8952603187556839,0.8293724698100268,0.00719068545270849,left_kidney,0.8952603187556839
21,left posterior pararenal region,2,left_kidney,0.00832733097552454,0.004275694328743583,4.580176770920892e-05,gallbladder,0.026315789484296342
22,posteroinferior to the spleen,2,left_kidney,0.0004992593244229325,0.000250423909602212,0.0006632007249731767,spleen,0.09795277635502678
23,left kidney is positioned in the left posterior retroperitoneum near the splenic hilum,2,left_kidney,0.6522017554432481,0.5038757337578526,0.0048920298152256205,left_kidney,0.6522017554432481
