case,concept_index,concept,target_class_index,target_class,target_dice,target_iou,pred_voxels,target_gt_voxels,target_intersection,pred_ratio
CYST_PA19.nii.gz,0,spleen,0,spleen,0.9344459905850186,0.8769578851269186,111224,125207,110466,0.006819056867981627
CYST_PA19.nii.gz,1,splenic parenchyma,0,spleen,0.9367106755668644,0.8809555913356856,111942,125207,111070,0.006863076889121047
CYST_PA19.nii.gz,2,homogeneous left upper quadrant solid organ,0,spleen,7.986773902411217e-13,7.986773902411217e-13,0,125207,0,0.0
CYST_PA19.nii.gz,3,crescentic organ with smooth lateral convexity,0,spleen,7.986773902411217e-13,7.986773902411217e-13,0,125207,0,0.0
CYST_PA19.nii.gz,4,left hypochondrial region,0,spleen,7.98671011436331e-13,7.98671011436331e-13,1,125207,0,6.130922164264571e-08
CYST_PA19.nii.gz,5,left subphrenic compartment,0,spleen,7.986773902411217e-13,7.986773902411217e-13,0,125207,0,0.0
CYST_PA19.nii.gz,6,posterolateral to the gastric fundus,0,spleen,6.128840484664949e-13,6.128840484664949e-13,37956,125207,0,0.002327052816668261
CYST_PA19.nii.gz,7,spleen lies beneath the left hemidiaphragm along the left lateral abdominal wall,0,spleen,0.9154457391064899,0.8440755544608408,106857,125207,106221,0.006551319497068193
CYST_PA19.nii.gz,8,right kidney,1,right_kidney,0.9582841479762518,0.9199093458303692,97547,102377,95792,0.0059805306435751614
CYST_PA19.nii.gz,9,right renal parenchyma,1,right_kidney,0.9577943394997279,0.9190070403570971,97146,102377,95551,0.0059559456456964605
CYST_PA19.nii.gz,10,right-sided reniform retroperitoneal organ,1,right_kidney,0.8866590452248307,0.796394888216427,82190,102377,81824,0.005039004926809051
CYST_PA19.nii.gz,11,right renal cortex with central renal sinus,1,right_kidney,0.8023996868958856,0.67000624341547,68812,102377,68681,0.004218810159673737
CYST_PA19.nii.gz,12,right renal fossa,1,right_kidney,0.9335974364027018,0.8754643586503205,90477,102377,90024,0.0055470744465616565
CYST_PA19.nii.gz,13,right posterior pararenal region,1,right_kidney,9.767818943698518e-13,9.767818943698518e-13,0,102377,0,0.0
CYST_PA19.nii.gz,14,caudal to the right hepatic lobe,1,right_kidney,9.607901538215804e-13,9.607901538215804e-13,1704,102377,0,0.0001044709136790683
CYST_PA19.nii.gz,15,right kidney is positioned in the right posterior retroperitoneum adjacent to the psoas muscle,1,right_kidney,0.5728086041180206,0.4013537397795547,41926,102377,41329,0.002570450426589564
CYST_PA19.nii.gz,16,left kidney,2,left_kidney,0.957107798249168,0.917743748243961,106099,112309,104520,0.006504847107063068
CYST_PA19.nii.gz,17,left renal parenchyma,2,left_kidney,0.9567039042122785,0.9170013269243328,105840,112309,104352,0.006488968018657623
CYST_PA19.nii.gz,18,left-sided bean-shaped retroperitoneal organ,2,left_kidney,0.9183034963354952,0.8489474572808507,95766,112309,95538,0.005871338919829609
CYST_PA19.nii.gz,19,left renal cortex surrounding the collecting sinus,2,left_kidney,0.8938895688634461,0.8081377263073528,91130,112309,90926,0.005587109368294304
CYST_PA19.nii.gz,20,left renal fossa,2,left_kidney,0.9406108411390752,0.8878803726389747,100676,112309,100168,0.006172367198095
CYST_PA19.nii.gz,21,left posterior pararenal region,2,left_kidney,0.006938775511085236,0.003481466312580932,391,112309,391,2.3971905662274475e-05
CYST_PA19.nii.gz,22,posteroinferior to the spleen,2,left_kidney,1.721407508777696e-05,8.607112055973244e-06,3875,112309,1,0.00023757323386525215
CYST_PA19.nii.gz,23,left kidney is positioned in the left posterior retroperitoneum near the splenic hilum,2,left_kidney,0.6820638474977537,0.5175241958444372,58285,112309,58178,0.0035734079834416053
CYST_PA19.nii.gz,24,gallbladder,3,gallbladder,0.8859183493521102,0.795200557191898,26360,30345,25118,0.001616111082500141
CYST_PA19.nii.gz,25,cystic biliary reservoir,3,gallbladder,0.8652216605450318,0.7624587379426259,24649,30345,23791,0.0015112110042695742
CYST_PA19.nii.gz,26,thin-walled pear-shaped fluid structure,3,gallbladder,3.2954358213765183e-12,3.2954358213765183e-12,0,30345,0,0.0
CYST_PA19.nii.gz,27,hypodense intraluminal bile-containing sac,3,gallbladder,0.7568216852520333,0.6087796708441213,19606,30345,18902,0.0012020285995257118
CYST_PA19.nii.gz,28,gallbladder fossa,3,gallbladder,0.8685453656949765,0.7676360495256498,24906,30345,23994,0.0015269674742317341
CYST_PA19.nii.gz,29,inferior hepatic surface,3,gallbladder,0.021116220849768903,0.010670773631314991,410643,30345,4656,0.025176202703000965
CYST_PA19.nii.gz,30,adjacent to hepatic segment IVb and segment V,3,gallbladder,0.13633735420369586,0.07315559740013446,19810,30345,3419,0.0012145356807408117
CYST_PA19.nii.gz,31,gallbladder lies along the undersurface of the liver near the porta hepatis,3,gallbladder,0.8692633602736688,0.7687584621689324,25829,30345,24415,0.0015835558858078962
CYST_PA19.nii.gz,32,liver,4,liver,0.9464453293176781,0.89833527927386,969388,1046720,954068,0.05943242374972104
